url,pf3ClassCount,pf4ClassCount,otherClassCount
http://localhost:9000/k8s/ns/default/secrets,0,49,0
http://localhost:9000/k8s/ns/default/serviceaccounts,0,50,0
http://localhost:9000/k8s/ns/default/serviceaccounts/~new,0,58,0
http://localhost:9000/k8s/ns/default/services,0,49,0
http://localhost:9000/k8s/ns/default/serving.knative.dev~v1~Revision,0,48,0
http://localhost:9000/k8s/ns/default/serving.knative.dev~v1~Route,0,48,0
http://localhost:9000/k8s/ns/default/serving.knative.dev~v1~Service,0,48,0
http://localhost:9000/k8s/ns/default/statefulsets,0,49,0
http://localhost:9000/k8s/ns/openshift-machine-api/autoscaling.openshift.io~v1beta1~MachineAutoscaler,0,47,0
http://localhost:9000/k8s/ns/openshift-machine-api/buildconfigs,0,49,0
http://localhost:9000/k8s/ns/openshift-machine-api/builds,0,49,0
http://localhost:9000/k8s/ns/openshift-machine-api/configmaps,0,50,0
http://localhost:9000/k8s/ns/openshift-machine-api/configmaps/~new,0,58,0
http://localhost:9000/k8s/ns/openshift-machine-api/configmaps/kube-rbac-proxy,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/configmaps/machine-api-operator-images,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/cronjobs,0,49,0
http://localhost:9000/k8s/ns/openshift-machine-api/daemonsets,0,49,0
http://localhost:9000/k8s/ns/openshift-machine-api/deploymentconfigs,0,50,0
http://localhost:9000/k8s/ns/openshift-machine-api/deploymentconfigs/~new,0,58,0
http://localhost:9000/k8s/ns/openshift-machine-api/deployments,0,49,0
http://localhost:9000/k8s/ns/openshift-machine-api/deployments/machine-api-operator,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/events,0,56,0
http://localhost:9000/k8s/ns/openshift-machine-api/horizontalpodautoscalers,0,50,0
http://localhost:9000/k8s/ns/openshift-machine-api/horizontalpodautoscalers/~new,0,70,0
http://localhost:9000/k8s/ns/openshift-machine-api/imagestreams,0,49,0
http://localhost:9000/k8s/ns/openshift-machine-api/ingresses,0,49,0
http://localhost:9000/k8s/ns/openshift-machine-api/jobs,0,49,0
http://localhost:9000/k8s/ns/openshift-machine-api/limitranges,0,49,0
http://localhost:9000/k8s/ns/openshift-machine-api/machine.openshift.io~v1beta1~Machine,0,47,0
http://localhost:9000/k8s/ns/openshift-machine-api/machine.openshift.io~v1beta1~MachineHealthCheck,0,47,0
http://localhost:9000/k8s/ns/openshift-machine-api/machine.openshift.io~v1beta1~MachineSet,0,47,0
http://localhost:9000/k8s/ns/openshift-machine-api/networkpolicies,0,50,0
http://localhost:9000/k8s/ns/openshift-machine-api/networkpolicies/~new,0,70,0
http://localhost:9000/k8s/ns/openshift-machine-api/operators.coreos.com~v1alpha1~ClusterServiceVersion,0,60,0
http://localhost:9000/k8s/ns/openshift-machine-api/persistentvolumeclaims,0,49,0
http://localhost:9000/k8s/ns/openshift-machine-api/pods,0,80,0
http://localhost:9000/k8s/ns/openshift-machine-api/pods/~new,0,70,0
http://localhost:9000/k8s/ns/openshift-machine-api/pods/cluster-autoscaler-operator-7849864695-npqjd,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/pods/machine-api-controllers-5469b5d49d-k6b4f,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/pods/machine-api-operator-58f8db69b9-mbdnn,0,77,0
http://localhost:9000/k8s/ns/openshift-machine-api/pods/machine-api-operator-58f8db69b9-mbdnn/containers/kube-rbac-proxy,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/pods/machine-api-operator-58f8db69b9-mbdnn/containers/machine-api-operator,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/pods/machine-api-operator-58f8db69b9-mbdnn/environment,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/pods/machine-api-operator-58f8db69b9-mbdnn/events,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/pods/machine-api-operator-58f8db69b9-mbdnn/logs,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/pods/machine-api-operator-58f8db69b9-mbdnn/terminal,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/pods/machine-api-operator-58f8db69b9-mbdnn/yaml,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/replicasets,0,49,0
http://localhost:9000/k8s/ns/openshift-machine-api/replicasets/cluster-autoscaler-operator-7849864695,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/replicasets/machine-api-controllers-5469b5d49d,0,48,0
http://localhost:9000/k8s/ns/openshift-machine-api/replicasets/machine-api-operator-58f8db69b9,0,76,0
