url,pf3ClassCount,pf4ClassCount,otherClassCount
http://localhost:9000/add/ns/default,79,0,29
http://localhost:9000/catalog,81,0,34
http://localhost:9000/deploy-image,87,0,28
http://localhost:9000/import,102,0,31
http://localhost:9000/k8s/all-namespaces/buildconfigs,78,0,56
http://localhost:9000/k8s/all-namespaces/builds,77,0,49
http://localhost:9000/k8s/all-namespaces/configmaps,77,0,43
http://localhost:9000/k8s/all-namespaces/cronjobs,79,0,45
http://localhost:9000/k8s/all-namespaces/daemonsets,80,0,53
http://localhost:9000/k8s/all-namespaces/deploymentconfigs,80,0,53
http://localhost:9000/k8s/all-namespaces/deployments,80,0,52
http://localhost:9000/k8s/all-namespaces/events,75,0,67
http://localhost:9000/k8s/all-namespaces/horizontalpodautoscalers,79,0,53
http://localhost:9000/k8s/all-namespaces/imagestreams,77,0,50
http://localhost:9000/k8s/all-namespaces/ingresses,70,0,33
http://localhost:9000/k8s/all-namespaces/jobs,79,0,51
http://localhost:9000/k8s/all-namespaces/limitranges,70,0,33
http://localhost:9000/k8s/all-namespaces/networkpolicies,70,0,33
http://localhost:9000/k8s/all-namespaces/operators.coreos.com~v1alpha1~ClusterServiceVersion,77,0,52
http://localhost:9000/k8s/all-namespaces/persistentvolumeclaims,79,0,54
http://localhost:9000/k8s/all-namespaces/pods,89,0,53
http://localhost:9000/k8s/all-namespaces/replicasets,82,0,48
http://localhost:9000/k8s/all-namespaces/replicationcontrollers,79,0,48
http://localhost:9000/k8s/all-namespaces/resourcequotas,70,0,33
http://localhost:9000/k8s/all-namespaces/rolebindings,59,0,22
http://localhost:9000/k8s/all-namespaces/roles,77,0,49
http://localhost:9000/k8s/all-namespaces/routes,81,0,51
http://localhost:9000/k8s/all-namespaces/secrets,80,0,51
http://localhost:9000/k8s/all-namespaces/serviceaccounts,78,0,44
http://localhost:9000/k8s/all-namespaces/services,79,0,58
http://localhost:9000/k8s/all-namespaces/statefulsets,80,0,52
http://localhost:9000/k8s/all-namespaces/tekton.dev~v1alpha1~Pipeline,82,0,59
http://localhost:9000/k8s/all-namespaces/tekton.dev~v1alpha1~PipelineResource,58,0,22
http://localhost:9000/k8s/all-namespaces/tekton.dev~v1alpha1~PipelineRun,83,0,51
http://localhost:9000/k8s/all-namespaces/tekton.dev~v1alpha1~Task,78,0,43
